MaPN       | MaSP       | SoLuong    | DonGia     | ThanhTien 
--------------------------------------------------------------
PN001      | SP001      | 10         | 15000.00   | 150000.00 
PN001      | SP002      | 5          | 20000.00   | 100000.00 
PN002      | SP003      | 8          | 12000.00   | 96000.00  
PN002      | SP004      | 12         | 18000.00   | 216000.00 
PN003      | SP005      | 7          | 25000.00   | 175000.00 
PN003      | SP006      | 3          | 30000.00   | 90000.00  
PN004      | SP007      | 15         | 10000.00   | 150000.00 
PN004      | SP008      | 9          | 22000.00   | 198000.00 
PN005      | SP009      | 4          | 50000.00   | 200000.00 
PN005      | SP010      | 6          | 45000.00   | 270000.00 
PN006      | SP011      | 11         | 16000.00   | 176000.00 
PN006      | SP012      | 5          | 14000.00   | 70000.00  
PN007      | SP013      | 13         | 13000.00   | 169000.00 
PN007      | SP014      | 2          | 28000.00   | 56000.00  
PN008      | SP015      | 9          | 19000.00   | 171000.00 
PN008      | SP016      | 7          | 21000.00   | 147000.00 
PN009      | SP017      | 10         | 12000.00   | 120000.00 
PN009      | SP018      | 8          | 17000.00   | 136000.00 
PN010      | SP019      | 6          | 20000.00   | 120000.00 
PN010      | SP020      | 3          | 30000.00   | 90000.00  
