===[DANH SACH CHI TIET HOA DON]===
Tong so chi tiet: 20

| Ma HD      | Ma Sach    | So Luong | Don Gia      | Thanh Tien      |
|------------|------------|----------|--------------|-----------------|
| HD001      | S001       | 5        |      100,000 |         500,000 |
| HD001      | S002       | 1        |      250,000 |         250,000 |
| HD002      | S005       | 3        |       85,000 |         255,000 |
| HD003      | S003       | 2        |      120,000 |         240,000 |
| HD003      | S008       | 1        |       75,000 |          75,000 |
| HD003      | S001       | 1        |      100,000 |         100,000 |
| HD004      | S010       | 10       |       15,000 |         150,000 |
| HD005      | S007       | 2        |      180,000 |         360,000 |
| HD005      | S006       | 4        |       60,000 |         240,000 |
| HD006      | S002       | 2        |      250,000 |         500,000 |
| HD007      | S001       | 1        |      100,000 |         100,000 |
| HD007      | S003       | 1        |      120,000 |         120,000 |
| HD007      | S004       | 1        |       90,000 |          90,000 |
| HD008      | S009       | 1        |      350,000 |         350,000 |
| HD008      | S008       | 5        |       75,000 |         375,000 |
| HD009      | S007       | 3        |      180,000 |         540,000 |
| HD010      | S004       | 2        |       90,000 |         180,000 |
| HD010      | S005       | 2        |       85,000 |         170,000 |
| BAN001     | S010       | 100      |      290,000 |      29,000,000 |
| BAN001     | S009       | 350      |       45,000 |      15,750,000 |
|------------|------------|----------|--------------|-----------------|
